,교과구분,개설대학,개설학과,학년,교과목 번호,강좌번호,교과목명(부제명),학점-강의-실습,수업교시-수업형태-강의실(동-호),담당교수,강의계획서,정원,수강신청인원,비고
2365,전선,약학대학,,4학년,M2175.007900,001,임상약동력학,3-3-0,"['화(13:00~14:20)', '이론', '143-106(무선랜제공)', '수(11:00~12:20)', '이론', '143-106(무선랜제공)']",LEE JANGIK IKE (대표교수),Y,17 (17),5,®약대 학생만 수강 가능
2366,전선,약학대학,,4학년,M2175.008000,001,임상약학개론,2-2-0,"['목(13:00~14:50)', '이론', '#17--108']",오정미 (대표교수),Y,70 (70),43,®약대 학생만 수강 가능
2367,전필,약학대학,,4학년,M2175.008200,001,약료학 및 실습,2-1-2,"['목(09:00~09:50)', '이론', '#17--108', '목(10:00~11:50)', '실습', '#17--108']",Eunkyung Euni Lee (대표교수),Y,25 (25),25,®약대 학생만 수강 가능
2368,전필,약학대학,,4학년,M2175.008200,002,약료학 및 실습,2-1-2,"['목(15:00~15:50)', '이론', '#17--108', '목(16:00~17:50)', '실습', '#17--108']",Eunkyung Euni Lee (대표교수),Y,25 (25),24,®약대 학생만 수강 가능
2369,전선,약학대학,,0학년,M2175.012300,001,퇴행성 뇌질환 특강,3-3-0,"['목(16:00~18:50)', '이론', '20-115']",신민규 (대표교수),Y,26 (26),25,
2370,전선,약학대학,,0학년,M2175.012400,001,면역세포치료제 특강,3-3-0,"['수(16:00~18:50)', '이론', '20-116']",서형석 (대표교수),Y,30 (30),31,
2371,전필,약학대학,,2학년,M2175.012900,001,약화학 1,3-3-0,"['화(10:00~12:50)', '이론', '20-101']",이주용 (대표교수),Y,80 (80),73,®약대 학생만 수강 가능
2372,전선,약학대학,,0학년,M2175.013100,001,의약 바이오엔지니어링,3-3-0,"['월(16:00~18:50)', '이론', '20-115']",이재영 (대표교수),Y,15 (15),17,
2373,전선,약학대학,,0학년,M2175.013500,001,고급 면역학 특강 1,3-3-0,"['금(16:00~18:50)', '이론', '20-116']",이유정 (대표교수),Y,30 (30),13,약대 학생만 수강 가능
2374,전필,약학대학,,4학년,M2175.013700,001,약학실습 5,1-0-4,"['화(17:00~18:50)', '실습', '20-107', '수(13:30~15:20)', '실습', '20-107']",구자현 (대표교수),Y,70 (70),49,®약대 학생만 수강 가능
2375,전필,약학대학,,4학년,M2175.013800,001,약학실습 6,1-0-4,"['수(15:30~19:20)', '실습', '20-107']",구자현 (대표교수),Y,70 (70),49,®약대 학생만 수강 가능
2376,전선,약학대학,,0학년,M2175.014500,001,합성면역학,3-3-0,"['수(13:00~15:50)', '이론', '143-105(무선랜제공)']",김찬혁 (대표교수),Y,20 (20),8,
2377,전선,약학대학,,0학년,M2175.014700,001,생체분자 물리약학 기반 신약개발,3-3-0,"['월(13:00~15:50)', '이론', '20-116']",이인균 (대표교수),Y,20 (20),19,ⓒ
2378,전선,약학대학,,0학년,M2175.015000,001,다학제 노인케어 연구,3-3-0,"['월(17:00~19:50)', '이론', '#17-105']",Eunkyung Euni Lee (대표교수),Y,15 (15),8,
2379,전선,약학대학,,0학년,M2175.015100,001,임상약학 IPE 실습,3-0-8,"['토(09:00~11:50)', '실습', ' ', '토(13:00~17:50)', '실습', ' ']",오정미 (대표교수),Y,15 (15),11,
2380,전선,공과대학,재료공학부,0학년,M2177.002700,001,연구자를 위한 기술사업화 1,3-3-0,"['금(09:00~11:50)', '이론', '33-331(무선랜제공)']",김세훈 (대표교수),Y,50 (50),10,
2381,전선,공과대학,컴퓨터공학부,4학년,M2177.004300,001,딥러닝의 기초,3-3-0,"['화(09:30~10:45)', '이론', '302-105(무선랜제공)', '목(09:30~10:45)', '이론', '302-105(무선랜제공)']",송현오 (대표교수),Y,200 (200),140,"ⓔ®학사: 컴퓨터공학부(복수,부전공 포함), 전기정보공학부, 자유전공학부, 연합전공 인공지능, 연합전공 인공지능 반도체공학, 수리과학부, 통계학과 신청가능, 대학원: 신청 불가능"
2382,전선,공과대학,,3학년,M2177.005800,001,머신러닝을 위한 기초 수학 및 프로그래밍 실습,3-2-2,"['금(09:00~11:50)', '이론', '43-101']",김성우 (대표교수),Y,100 (100),19,
2383,전선,공과대학,,3학년,M2177.005800,002,머신러닝을 위한 기초 수학 및 프로그래밍 실습,3-2-2,"['월(16:00~16:50)', '이론', '38-422(무선랜제공)', '월(17:00~17:50)', '실습', '38-422(무선랜제공)', '수(16:00~16:50)', '이론', '38-422(무선랜제공)', '수(17:00~17:50)', '실습', '38-422(무선랜제공)']",신형엽 (대표교수),Y,40 (40),44,ⓔ
2384,전선,공과대학,,0학년,M2177.007500,001,사물인터넷과 창의공학설계,3-3-0,"['화(15:00~16:50)', '이론', '38-B105(무선랜제공)', '화(17:00~17:50)', '실습', '38-B105(무선랜제공)']",양세훈 (대표교수),Y,20 (20),13,"IoT 아두이노, ESP32 및 STM32 실습"
2385,전선,공과대학,,3학년,M2177.007800,001,VR/AR의 개론 및 실습,3-1-4,"['금(10:30~11:20)', '이론', '38-B105(무선랜제공)', '금(08:30~10:20)', '실습', '38-B105(무선랜제공)', '금(11:30~13:20)', '실습', '38-B105(무선랜제공)']",윤명환 (대표교수),Y,30 (30),11,ⓕ 플립러닝(Flipped Learning) 적용강좌
